verdict	only_hist	only_disk	disk_size	hist_size	rel_path	snapshot	strategy	hist_uri
MINOR	2	2	4235	61039	CaseCrack/tools/burp_enterprise/_spa_shell.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-41d37f04\9ajd.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/_spa_shell.py
MINOR	0	0	42420	49913	CaseCrack/tools/burp_enterprise/recon_dashboard/report_filters.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-435cb2e9\KOwP.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/report_filters.py
MINOR	1	2	33078	48683	CaseCrack/tools/burp_enterprise/testing_tools/intercept.py	C:\Users\ya754\AppData\Roaming\Code\User\History\402b2580\Fj9I.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/intercept.py
MINOR	1	0	29241	35894	CaseCrack/tools/burp_enterprise/atlas/atlas_nexus.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-233a72b\d4VR.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/atlas/atlas_nexus.py
MINOR	2	1	30260	34349	CaseCrack/tools/burp_enterprise/output/reporter.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-58dd0153\TNaR.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/output/reporter.py
MINOR	0	0	21401	26439	CaseCrack/tools/burp_enterprise/recon_dashboard/findings_store.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-51a8eae5\QiEZ.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/findings_store.py
MINOR	0	0	19952	23236	CaseCrack/tools/burp_enterprise/exploit_chains/exploit_graph_renderer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4892436\1RAf.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/exploit_graph_renderer.py
MINOR	1	0	16001	19587	CaseCrack/tools/burp_enterprise/tool_wrappers/uncover_provider.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4df21b08\BuMv.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/tool_wrappers/uncover_provider.py
MINOR	2	0	9257	18196	CaseCrack/tools/burp_enterprise/tool_wrappers/dalfox_provider.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6200fdec\yFSF.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/tool_wrappers/dalfox_provider.py
MINOR	0	0	15166	17201	CaseCrack/tools/burp_enterprise/atlas/patterns.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-5408bbb5\HTk4.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/atlas/patterns.py
MINOR	2	0	7666	15317	CaseCrack/tools/burp_enterprise/platforms/generic.py	C:\Users\ya754\AppData\Roaming\Code\User\History\464f93d4\XWh3.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/platforms/generic.py
MINOR	3	1	8824	14560	CaseCrack/tools/burp_enterprise/cli/_parsers/protocol.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-201ed94\oKDg.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/cli/commands/protocol.py
MINOR	3	1	2639	11027	CaseCrack/tools/burp_enterprise/cli/_parsers/dashboard.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7d14f3f6\XGcO.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/cli/commands/dashboard.py
